scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,191.73268127441406,254.5428009033203,1.0,191.98171997070312,275.8306884765625,1.0
1,191.73268127441406,254.5428009033203,1.0,191.98171997070312,275.8306884765625,1.0
2,191.73268127441406,254.5428009033203,1.0,191.98171997070312,275.8306884765625,1.0
3,191.4091796875,252.92770385742188,1.0,191.42868041992188,274.5138244628906,1.0
4,190.2217254638672,252.65658569335938,1.0,189.3983154296875,274.2848815917969,1.0
5,189.8011474609375,252.4857940673828,1.0,189.20799255371094,273.574951171875,1.0
6,188.8453369140625,252.4857940673828,1.0,187.83544921875,273.38677978515625,1.0
7,187.90036010742188,252.4857940673828,1.0,186.9192352294922,272.7726745605469,1.0
8,187.27366638183594,252.4857940673828,1.0,186.82627868652344,272.72955322265625,1.0
9,187.26368713378906,252.5289306640625,1.0,186.53907775878906,272.72845458984375,1.0
10,186.58908081054688,253.3910675048828,1.0,185.0685272216797,272.72845458984375,1.0
11,186.5106201171875,253.39566040039062,1.0,184.5159149169922,272.72955322265625,1.0
12,186.27000427246094,253.41871643066406,1.0,183.43960571289062,272.960205078125,1.0
13,185.69801330566406,253.4918975830078,1.0,182.89390563964844,272.9642333984375,1.0
14,185.08746337890625,253.5693359375,1.0,182.350830078125,273.0003967285156,1.0
15,184.4142303466797,253.96734619140625,1.0,181.2462158203125,273.502197265625,1.0
16,183.98629760742188,254.04490661621094,1.0,181.2462158203125,273.502197265625,1.0
17,183.31768798828125,254.04490661621094,1.0,181.2462158203125,273.502197265625,1.0
18,183.30690002441406,253.96734619140625,1.0,180.81863403320312,273.5137023925781,1.0
19,183.0335693359375,253.76669311523438,1.0,180.48065185546875,273.7354736328125,1.0
20,182.98509216308594,253.76669311523438,1.0,180.48065185546875,273.79486083984375,1.0
21,182.9395751953125,253.76669311523438,1.0,180.15638732910156,274.15142822265625,1.0
22,182.768310546875,254.2594757080078,1.0,180.0845947265625,274.9403991699219,1.0
23,182.7648468017578,254.49990844726562,1.0,179.74803161621094,275.5316467285156,1.0
24,182.6091766357422,255.00282287597656,1.0,179.72372436523438,276.2890930175781,1.0
25,182.6091766357422,255.7307586669922,1.0,179.18177795410156,277.1781921386719,1.0
26,182.64927673339844,256.3680725097656,1.0,178.904296875,277.8221740722656,1.0
27,182.7648468017578,257.0548095703125,1.0,178.9021453857422,278.1668701171875,1.0
28,183.17816162109375,257.6910400390625,1.0,178.9021453857422,280.3348083496094,1.0
29,183.7156524658203,257.8482666015625,1.0,178.904296875,280.90924072265625,1.0
30,185.47048950195312,258.94146728515625,1.0,179.2889404296875,282.3668212890625,1.0
31,186.3893585205078,259.0994873046875,1.0,179.59075927734375,282.3668212890625,1.0
32,186.8600616455078,259.6218566894531,1.0,179.71241760253906,282.3668212890625,1.0
33,187.11517333984375,259.7799072265625,1.0,181.70233154296875,280.58502197265625,1.0
34,187.43321228027344,260.14288330078125,1.0,182.12843322753906,280.58502197265625,1.0
35,188.56964111328125,261.4270935058594,1.0,182.57228088378906,280.58502197265625,1.0
36,190.9776611328125,263.4878845214844,1.0,183.19338989257812,280.58502197265625,1.0
37,191.86514282226562,263.4878845214844,1.0,184.056884765625,280.58502197265625,1.0
38,192.6968536376953,263.4878845214844,1.0,184.88038635253906,280.73895263671875,1.0
39,193.03945922851562,262.1153259277344,1.0,186.09434509277344,280.7606201171875,1.0
40,193.03945922851562,262.0399169921875,1.0,189.3209991455078,280.2532043457031,1.0
