scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,57.795989990234375,25.186616897583008,0.9999997615814209,54.512569427490234,45.216949462890625,1.0
1,57.795989990234375,25.255680084228516,0.9999997615814209,54.70097351074219,45.3613395690918,1.0
2,57.795989990234375,25.26959991455078,0.9999997615814209,54.82176971435547,45.46928024291992,1.0
3,57.78508758544922,25.26959991455078,0.9999997615814209,54.95761489868164,45.62632751464844,1.0
4,57.78508758544922,25.26959991455078,0.9999997615814209,55.37211608886719,45.62632751464844,1.0
5,57.78508758544922,25.234434127807617,0.9999996423721313,55.61482620239258,45.62632751464844,1.0
6,57.8306770324707,25.22074317932129,0.9999997615814209,55.754608154296875,45.421669006347656,1.0
7,57.852928161621094,25.22074317932129,0.9999996423721313,55.78596115112305,45.421669006347656,1.0
8,57.852928161621094,25.22074317932129,0.9999997615814209,55.78596115112305,45.421669006347656,1.0
9,57.8306770324707,25.441251754760742,0.9999997615814209,55.78596115112305,45.58815383911133,1.0
10,57.826255798339844,25.50737953186035,0.9999997615814209,55.75679016113281,45.61512756347656,1.0
11,57.6162109375,25.69735336303711,0.9999997615814209,55.73719024658203,45.79008865356445,1.0
12,57.607357025146484,25.716997146606445,0.9999997615814209,55.71778869628906,45.93740463256836,1.0
13,57.58844757080078,25.909700393676758,0.9999997615814209,55.71778869628906,46.11251449584961,1.0
14,57.58844757080078,26.24440574645996,0.9999996423721313,55.71778869628906,46.51498794555664,1.0
15,57.58844757080078,26.412399291992188,0.9999996423721313,55.941341400146484,46.55059814453125,1.0
16,57.692161560058594,26.491220474243164,0.9999996423721313,56.19038391113281,46.61669158935547,1.0
17,57.88475799560547,26.49280548095703,0.9999996423721313,56.373497009277344,46.628726959228516,1.0
18,57.972782135009766,26.636686325073242,0.9999996423721313,56.707733154296875,46.71669387817383,1.0
19,58.21648406982422,27.095991134643555,0.9999996423721313,57.45622253417969,46.67696762084961,1.0
20,58.27855682373047,27.367839813232422,0.9999997615814209,57.948062896728516,46.67696762084961,1.0
21,58.54393005371094,27.48653221130371,0.9999997615814209,58.43035888671875,46.67696762084961,1.0
22,58.7315788269043,27.508766174316406,0.9999997615814209,59.20649337768555,46.34856414794922,1.0
23,59.264774322509766,27.509212493896484,0.9999998807907104,59.91318893432617,46.308631896972656,1.0
24,59.943504333496094,27.515844345092773,0.9999998807907104,60.546634674072266,46.29673767089844,1.0
25,60.39841842651367,27.515844345092773,0.9999998807907104,61.011314392089844,46.29673767089844,1.0
26,60.77438735961914,27.573442459106445,0.9999998807907104,61.45402526855469,46.29673767089844,1.0
27,61.16366195678711,27.573442459106445,0.9999998807907104,61.89475631713867,46.42542266845703,1.0
28,61.76422119140625,27.70801544189453,0.9999998807907104,63.46394348144531,46.42542266845703,1.0
29,62.44929122924805,27.7355899810791,0.9999998807907104,64.63445281982422,46.42542266845703,1.0
30,62.833740234375,27.7355899810791,0.9999997615814209,64.90167236328125,46.402183532714844,1.0
31,63.21855926513672,27.7355899810791,0.9999997615814209,65.27898406982422,46.24278259277344,1.0
32,63.722816467285156,27.710262298583984,0.9999997615814209,65.53215789794922,45.53776931762695,1.0
33,63.754600524902344,27.250085830688477,0.9999998807907104,66.02633666992188,45.253028869628906,1.0
34,64.17090606689453,27.233430862426758,0.9999998807907104,66.6978759765625,44.35887145996094,0.9999998807907104
35,64.61149597167969,27.19611930847168,0.9999998807907104,67.24679565429688,44.35887145996094,0.9999998807907104
