scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,34.5306396484375,48.59834289550781,1.0,33.9140510559082,68.69445037841797,1.0
1,34.83060073852539,48.54631805419922,1.0,34.68617248535156,68.7961654663086,1.0
2,35.10873031616211,48.67765808105469,1.0,35.5081672668457,68.93765258789062,1.0
3,35.44229507446289,48.39073944091797,1.0,36.70891189575195,68.30272674560547,1.0
4,35.657188415527344,48.38978576660156,1.0,37.1901969909668,68.087890625,1.0
5,36.0179443359375,48.32359313964844,1.0,38.197471618652344,68.00018310546875,1.0
6,36.12495422363281,48.29697036743164,1.0,38.575435638427734,67.88549041748047,1.0
7,36.220298767089844,48.159358978271484,1.0,38.57734680175781,67.53755950927734,1.0
8,36.6722412109375,48.07782745361328,1.0,39.17352294921875,67.11795043945312,1.0
9,36.86848449707031,47.85358810424805,1.0,39.564720153808594,66.76409149169922,1.0
10,37.10659408569336,47.680503845214844,1.0,40.01008224487305,66.6839828491211,1.0
11,37.50914001464844,47.43416213989258,1.0,40.438514709472656,66.33419036865234,1.0
12,37.83580780029297,47.594871520996094,1.0,40.86100769042969,66.4443588256836,1.0
13,38.67166519165039,47.423492431640625,1.0,41.654998779296875,66.02587890625,1.0
14,38.79615020751953,47.348751068115234,1.0,41.88948440551758,65.85025024414062,1.0
15,38.868431091308594,47.39167785644531,1.0,42.05632781982422,65.76290893554688,1.0
16,39.031410217285156,47.30587387084961,1.0,42.291587829589844,65.69815826416016,1.0
17,39.127655029296875,47.317604064941406,1.0,42.13273239135742,65.8566665649414,1.0
18,39.19358444213867,47.47309494018555,1.0,42.312347412109375,66.28843688964844,1.0
19,39.09572982788086,47.549259185791016,1.0,42.184539794921875,66.3167953491211,1.0
20,39.05942916870117,47.52070999145508,1.0,42.20621109008789,66.39395904541016,1.0
21,38.95270919799805,47.7637939453125,1.0,42.272342681884766,66.91341400146484,1.0
22,38.88528823852539,47.79995346069336,1.0,42.64419937133789,66.73149871826172,1.0
23,38.56291198730469,48.27004623413086,1.0,42.30088424682617,67.13140869140625,1.0
24,38.19329071044922,48.67295455932617,1.0,42.12871551513672,67.56143951416016,1.0
25,38.09526062011719,48.661659240722656,1.0,41.93748092651367,67.48056030273438,1.0
26,37.98610305786133,48.62480926513672,1.0,41.75395202636719,67.57257080078125,1.0
27,37.9334602355957,48.68672180175781,1.0,41.618404388427734,67.53240966796875,1.0
28,37.98059844970703,48.65861129760742,1.0,41.61949920654297,67.56431579589844,1.0
29,37.83988952636719,48.22309112548828,1.0,41.301231384277344,67.13028717041016,1.0
30,37.662052154541016,48.03132629394531,1.0,41.15787887573242,66.70643615722656,1.0
31,37.67206573486328,47.925838470458984,1.0,41.110321044921875,66.48941040039062,1.0
32,37.56992721557617,47.944618225097656,1.0,41.196990966796875,66.39990234375,1.0
33,37.11505889892578,47.828975677490234,1.0,40.87796401977539,65.9955062866211,1.0
34,36.636688232421875,47.82318878173828,1.0,40.768489837646484,65.35325622558594,1.0
35,36.47572708129883,47.67238235473633,1.0,40.720367431640625,65.19843292236328,1.0
36,36.21660614013672,47.355796813964844,1.0,40.5443115234375,64.74027252197266,1.0
37,36.12904357910156,47.23724365234375,1.0,40.49595260620117,64.57334899902344,1.0
38,36.03925704956055,47.057411193847656,1.0,40.4193000793457,64.40253448486328,1.0
39,35.88667297363281,46.2984619140625,1.0,40.3511962890625,63.427371978759766,0.9999998807907104
