scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,161.08837890625,102.44752502441406,1.0,163.5335693359375,120.70410919189453,1.0
1,161.0783233642578,102.42953491210938,1.0,163.3900909423828,120.7907485961914,1.0
2,160.98934936523438,102.4292221069336,1.0,163.4835968017578,120.73603057861328,1.0
3,161.0137176513672,102.36042022705078,1.0,163.52117919921875,120.68585205078125,1.0
4,161.0084686279297,102.32846069335938,1.0,163.64341735839844,120.6166000366211,1.0
5,160.9453125,102.41068267822266,1.0,163.55592346191406,120.69309997558594,1.0
6,160.93003845214844,102.3629150390625,1.0,163.58377075195312,120.64696502685547,1.0
7,160.86981201171875,102.48143005371094,1.0,163.4457550048828,120.8183822631836,1.0
8,160.8622283935547,102.48992156982422,1.0,163.4379425048828,120.82306671142578,1.0
9,160.82315063476562,102.59129333496094,1.0,163.34481811523438,120.89922332763672,1.0
10,160.8545684814453,102.63640594482422,1.0,163.3280029296875,121.06281280517578,1.0
11,160.80859375,102.64472198486328,1.0,163.30120849609375,121.05675506591797,1.0
12,160.88575744628906,102.72515106201172,1.0,163.49090576171875,121.02737426757812,1.0
13,160.93466186523438,102.74517059326172,1.0,163.5060577392578,121.14826965332031,1.0
14,160.9618377685547,102.6985092163086,1.0,163.43373107910156,121.29447174072266,1.0
15,161.04315185546875,102.91471099853516,1.0,163.58250427246094,121.50357055664062,1.0
16,161.01414489746094,102.88982391357422,1.0,163.76869201660156,121.48963165283203,1.0
17,161.11439514160156,102.95722961425781,1.0,164.21322631835938,121.59769439697266,1.0
18,161.25506591796875,103.0479507446289,1.0,163.98460388183594,121.78608703613281,1.0
19,161.30923461914062,103.11726379394531,1.0,164.29046630859375,121.60590362548828,1.0
20,161.60887145996094,103.29708862304688,1.0,164.63165283203125,121.79114532470703,1.0
21,161.96917724609375,103.61940002441406,1.0,165.1585235595703,122.05587768554688,1.0
22,162.7848358154297,104.10999298095703,1.0,164.92994689941406,121.90670776367188,1.0
23,163.05075073242188,104.08836364746094,1.0,165.0863800048828,121.9151840209961,1.0
24,163.18154907226562,104.14580535888672,1.0,165.66311645507812,122.63595581054688,1.0
25,163.5529022216797,104.38037872314453,1.0,165.09629821777344,122.17127990722656,1.0
26,163.83642578125,104.54859924316406,1.0,164.9565887451172,122.19116973876953,1.0
27,164.17373657226562,104.78019714355469,1.0,165.48240661621094,123.001220703125,1.0
28,164.33383178710938,104.882080078125,1.0,165.49307250976562,122.94992065429688,1.0
29,164.3389434814453,104.8686294555664,1.0,165.31466674804688,122.69266510009766,1.0
30,164.46310424804688,104.79180908203125,1.0,165.12570190429688,122.59964752197266,1.0
31,164.4977569580078,104.63780212402344,1.0,165.1597442626953,122.30240631103516,1.0
32,164.5048828125,104.41431427001953,1.0,165.3377227783203,122.13170623779297,1.0
33,164.25013732910156,104.31129455566406,1.0,165.3057861328125,121.77247619628906,1.0
34,164.25088500976562,104.37593841552734,1.0,165.25933837890625,121.70899200439453,1.0
35,164.32943725585938,104.29530334472656,1.0,165.3356475830078,121.68281555175781,1.0
36,164.52639770507812,103.93854522705078,1.0,165.73199462890625,121.4769058227539,1.0
37,164.506591796875,102.97969818115234,1.0,165.96739196777344,120.09344482421875,1.0
38,164.46267700195312,102.81610870361328,1.0,166.1153106689453,119.96379852294922,1.0
39,164.193603515625,102.33355712890625,1.0,166.2849578857422,119.59647369384766,1.0
40,164.05442810058594,102.05978393554688,1.0,166.38429260253906,119.50511932373047,1.0
