scorer,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000,DLC_resnet50_SiamangSimpleV2Jan31shuffle1_500000
bodyparts,upper_thorax,upper_thorax,upper_thorax,lower_bum,lower_bum,lower_bum
coords,x,y,likelihood,x,y,likelihood
0,368.27142333984375,-6.169792175292969,0.006291109137237072,366.68121337890625,-3.434685707092285,0.03002575784921646
1,368.1873779296875,-6.148070335388184,0.006189859472215176,366.5759582519531,-3.4748430252075195,0.030126875266432762
2,368.1683349609375,-6.168642997741699,0.006049801129847765,366.54534912109375,-3.528759479522705,0.03062487207353115
3,368.169677734375,-6.166571617126465,0.006074841134250164,366.5471496582031,-3.5255613327026367,0.030740300193428993
4,368.1747741699219,-6.159455299377441,0.0060849725268781185,366.57135009765625,-3.55428409576416,0.030710579827427864
5,368.17535400390625,-6.169955253601074,0.005980406887829304,366.5609130859375,-3.5561013221740723,0.030613791197538376
6,368.14703369140625,-6.195054054260254,0.0062582786194980145,366.539306640625,-3.6136088371276855,0.03248278424143791
7,368.17431640625,-6.190196990966797,0.006252572406083345,366.55535888671875,-3.5675830841064453,0.03249071538448334
8,368.1720275878906,-6.187583923339844,0.006245229858905077,366.5533752441406,-3.5689620971679688,0.03247226029634476
9,368.16680908203125,-6.191400527954102,0.006249968893826008,366.545166015625,-3.5744080543518066,0.03259086608886719
10,368.1553955078125,-6.20577335357666,0.006276974454522133,366.53814697265625,-3.5822081565856934,0.03263036534190178
11,368.14996337890625,-6.212765693664551,0.00609525665640831,366.5309753417969,-3.6319847106933594,0.03197132423520088
12,368.19500732421875,-6.223329544067383,0.006055111065506935,366.5916442871094,-3.550832748413086,0.029641222208738327
13,368.1920471191406,-6.238051414489746,0.006040266249328852,366.5812683105469,-3.5627169609069824,0.02990342676639557
14,368.1994323730469,-6.2333526611328125,0.006080986000597477,366.5954895019531,-3.557309627532959,0.03012879006564617
15,368.2052917480469,-6.247625350952148,0.006058354862034321,366.6029357910156,-3.5738039016723633,0.030262041836977005
16,368.2138366699219,-6.245277404785156,0.0060807690024375916,366.6112365722656,-3.565908908843994,0.03025924414396286
17,368.1993713378906,-6.2726898193359375,0.006132503505796194,366.59674072265625,-3.6256556510925293,0.030609365552663803
18,368.22833251953125,-6.245979309082031,0.006112952716648579,366.6218566894531,-3.560940742492676,0.030184535309672356
19,368.2279968261719,-6.22900390625,0.006362666375935078,366.6215515136719,-3.5264978408813477,0.030887579545378685
20,368.2281188964844,-6.225703239440918,0.006339434999972582,366.62451171875,-3.5242061614990234,0.030760226771235466
21,368.21630859375,-6.23103141784668,0.006341754458844662,366.6094665527344,-3.54055118560791,0.030850473791360855
22,368.2296142578125,-6.19140625,0.006480316165834665,366.5924987792969,-3.4479880332946777,0.03069785237312317
23,368.2216796875,-6.209805488586426,0.006545367185026407,366.59832763671875,-3.4807333946228027,0.030574500560760498
24,368.1883544921875,-6.256368637084961,0.006280258763581514,366.5586242675781,-3.6133813858032227,0.03165115416049957
25,368.1825866699219,-6.250628471374512,0.006231167819350958,366.556640625,-3.6263046264648438,0.03153267875313759
26,368.1884460449219,-6.256192207336426,0.006212130188941956,366.5594482421875,-3.615504264831543,0.03141357749700546
27,368.2019958496094,-6.255663871765137,0.006186597980558872,366.5692443847656,-3.619424343109131,0.03137456625699997
28,368.20172119140625,-6.256924629211426,0.006190827582031488,366.5693359375,-3.6185550689697266,0.0313648022711277
29,368.1993408203125,-6.255578994750977,0.006202761083841324,366.56787109375,-3.6180219650268555,0.03143729642033577
30,368.18731689453125,-6.254840850830078,0.006249436177313328,366.5542297363281,-3.6128764152526855,0.03179233521223068
